#Start:BMA150 3-axis Accelerometer Type:accelerometer Delay:0
#Unixtime (in nanosecond), Second, values[]
1365067133185000,0.0,-1.6889231,3.636633,8.812365
1365067133414889,0.229889,0.38136974,3.7864566,9.956474
1365067133445193,0.260193,0.7218784,3.9090397,9.615966
1365067133485202,0.300202,1.5390993,3.9090397,9.80665
1365067133515231,0.330231,2.3699405,4.5628166,9.615966
1365067133545230,0.36023,2.4108016,4.7126403,8.894087
1365067133585025,0.400025,2.5606253,5.053149,9.956474
1365067133625094,0.440094,3.0645783,4.2495484,9.915613
1365067133665195,0.480195,2.4108016,4.440233,9.534244
1365067133695041,0.510041,2.3699405,4.372132,9.507003
1365067133725009,0.540009,2.5606253,4.1814466,9.343558
1365067133754977,0.569977,2.5606253,4.140586,9.534244
1365067133784976,0.599976,2.5333846,4.2086873,9.466142
1365067133814914,0.629914,2.7921712,3.9499009,9.507003
1365067133845035,0.660035,2.9147544,3.6774938,9.343558
1365067133888217,0.703217,2.8330324,3.8273177,9.466142
1365067133925143,0.740143,2.6832085,3.3778462,9.724928
1365067133967868,0.782868,2.3018389,3.173541,9.384419
1365067134015628,0.830628,1.8387469,3.0645783,9.888372
1365067134055179,0.870179,1.7978859,2.7921712,9.80665
1365067134095248,0.910248,1.7297841,3.0237172,10.038197
1365067134135409,0.950409,1.5390993,2.8738933,9.915613
1365067134175174,0.990174,1.4982382,3.0237172,10.732834
1365067134215335,1.030335,1.2666923,3.1463003,9.956474
1365067134254977,1.069977,1.3075534,3.0645783,9.575105
1365067134299594,1.114594,0.7627395,3.214402,10.269742
1365067134335055,1.150055,0.53119355,3.255263,10.269742
1365067134375217,1.190217,0.38136974,3.1463003,9.80665
1365067134415225,1.230225,-0.040861044,3.405087,10.310603
1365067134455234,1.270234,-0.19068487,3.445948,10.337844
1365067134498141,1.313141,-0.0,3.336985,11.141444
1365067134535068,1.350068,2.152015,2.7921712,13.402422
1365067134580173,1.395173,1.0760075,2.3018389,11.372991
1365067134615115,1.430115,0.6946377,1.56634,7.246025
1365067134655276,1.470276,-0.0,0.84446156,10.147159
1365067134695071,1.510071,1.9885708,-0.50395286,8.812365
1365067134735568,1.550568,-0.040861044,1.1441092,5.47538
1365067134774966,1.589966,0.38136974,1.9477097,9.507003
1365067134815280,1.63028,-2.982856,4.7126403,11.836082
1365067134855411,1.670411,-1.3075534,2.5606253,9.575105
